City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,kiunga,-6.1219,141.2906,22.37,99,100,0.7,PG,1681846860
251,zungeru,9.8128,6.1558,31.21,47,77,3.85,NG,1681847038
252,arawa,-6.2132,155.5367,24.26,86,11,1.33,PG,1681847038
253,badger,64.8,-147.5333,-3.05,57,100,7.2,US,1681846919
254,spring creek,40.7266,-115.5859,2.44,47,97,10.15,US,1681847038
255,nikfer,37.4054,29.1373,8.79,84,0,1.9,TR,1681847038
256,aquiraz,-3.9014,-38.3911,28.05,83,19,2.78,BR,1681847038
257,odugattur,12.7667,78.9,24.61,62,1,0.54,IN,1681847039
258,taroa,8.7058,171.2275,26.68,81,100,7.17,MH,1681847039
259,papatowai,-46.5619,169.4708,11.98,90,95,4.44,NZ,1681847039
260,la sarre,48.8002,-79.1996,1.39,96,100,4.85,CA,1681847039
261,tsiombe,-25.3,45.4833,23.18,80,6,6.82,MG,1681847039
262,freeport,40.6576,-73.5832,15.01,44,100,9.77,US,1681846797
263,bamnet narong,15.4992,101.6897,28.24,63,8,5.01,TH,1681847039
264,ouesso,1.6136,16.0517,25.55,73,74,0.63,CG,1681847040
265,aykhal,66.0,111.5,-7.7,96,100,4.86,RU,1681847040
266,viqueque,-8.8673,126.3658,24.9,89,88,1.78,TL,1681847040
267,port saint john's,-31.6229,29.5448,20.66,82,0,2.03,ZA,1681847040
268,hancheng,32.5186,112.3522,18.07,63,98,3.05,CN,1681847040
269,tambovka,50.0969,128.0489,-1.39,79,89,2.79,RU,1681847041
270,isafjordur,66.0755,-23.124,11.02,71,100,2.57,IS,1681846836
271,carutapera,-1.195,-46.02,26.54,83,72,1.82,BR,1681847041
272,qarshi,38.8667,65.8,10.9,43,0,2.06,UZ,1681847041
273,lorengau,-2.0226,147.2712,27.09,80,99,3.28,PG,1681847041
274,gorontalo,0.5412,123.0595,23.64,92,98,1.28,ID,1681847041
275,bel ombre,-4.6167,55.4167,27.91,78,20,1.54,SC,1681847041
276,yorkton,51.2167,-102.4677,4.91,36,100,8.75,CA,1681847042
277,marsa alam,25.0757,34.8918,27.23,36,0,2.3,EG,1681847042
278,bodo,67.28,14.405,9.02,64,75,1.79,NO,1681847042
279,tongchuanshi,35.0806,109.0897,15.81,60,0,0.98,CN,1681847042
280,gadzhiyevo,69.2551,33.3362,0.1,88,100,4.99,RU,1681847043
281,zarghun shahr,32.8473,68.4457,10.13,58,85,6.5,AF,1681847043
282,aasiaat,68.7098,-52.8699,-5.15,89,100,5.27,GL,1681846825
